N6705C exported datalog

"Sample interval: 0.00100352"
"Trigger sample: 0"
"Date: Tue Sep  1 16:19:49 2020"

Sample,"Curr avg 3","Volt avg 4"
0,0.00160395,12.6013
1,0.00227915,12.6008
2,0.00183322,12.6009
3,0.00164602,12.6018
4,0.00199939,12.6002
5,0.0016986,12.6011
6,0.00189001,12.6013
7,0.0015766,12.6007
8,0.00191946,12.6002
9,0.00214032,12.6012
10,0.00204987,12.6007
11,0.00144409,12.6013
12,0.0018795,12.6007
13,0.00173436,12.601
14,0.00174488,12.6013
15,0.0021887,12.6008
16,0.00174488,12.6014
17,0.00166705,12.6009
18,0.00183532,12.6007
19,0.00192157,12.6011
20,0.00193208,12.6004
21,0.00203094,12.6015
22,0.00190684,12.6011
23,0.00184164,12.6011
24,0.00223287,12.6011
25,0.00167126,12.6005
26,0.00193419,12.6009
27,0.00208984,12.6011
28,0.0017596,12.6011
29,0.00171543,12.6014
30,0.00204567,12.6012
31,0.00152191,12.6008
32,0.00187319,12.6004
33,0.00199939,12.6008
34,0.00178905,12.6007
35,0.00208774,12.6013
36,0.00191105,12.6009
37,0.00169019,12.6016
38,0.00188791,12.6007
39,0.00211508,12.6011
40,0.00179957,12.6008
41,0.00191736,12.6011
42,0.00202674,12.6007
43,0.00172384,12.6015
44,0.00218239,12.6006
45,0.00189633,12.6006
46,0.00185846,12.6009
47,0.00187529,12.6008
48,0.00195312,12.6014
49,0.0016334,12.6013
50,0.00205198,12.6007
51,0.0017575,12.6015
52,0.0016376,12.6008
53,0.00227915,12.6013
54,0.00165022,12.6011
55,0.00157871,12.6003
56,0.00189633,12.6018
57,0.00154505,12.6003
58,0.0019447,12.6008
59,0.0018816,12.6011
60,0.0016986,12.6011
61,0.00181008,12.601
62,0.0021235,12.6012
63,0.0016334,12.6008
64,0.00190053,12.6013
65,0.00190684,12.6016
66,0.0018185,12.6012
67,0.00162078,12.6007
68,0.00196153,12.6007
69,0.0018164,12.6008
70,0.00194681,12.6011
71,0.0018206,12.6001
72,0.0016355,12.6007
73,0.00181219,12.6009
74,0.00215084,12.6005
75,0.00177433,12.6011
76,0.00223287,12.6011
77,0.00203936,12.6008
78,0.00153874,12.6009
79,0.00211087,12.6007
80,0.00146092,12.6013
81,0.0020057,12.6012
82,0.00234856,12.6009
83,0.00150088,12.6009
84,0.0020015,12.6012
85,0.0018816,12.601
86,0.00194891,12.6007
87,0.00130736,12.6015
88,0.00196153,12.6015
89,0.00193419,12.6008
90,0.00166705,12.6016
91,0.00190474,12.6009
92,0.00207722,12.6011
93,0.00165653,12.6011
94,0.00190684,12.6014
95,0.0015135,12.6011
96,0.00187319,12.6018
97,0.00205619,12.6012
98,0.0015135,12.6006
99,0.00206881,12.6012
100,0.00218449,12.6013
101,0.00162709,12.601
102,0.00171753,12.6013
103,0.00174698,12.6005
104,0.00198888,12.6017
105,0.00184795,12.601
106,0.00173857,12.6013
107,0.0016355,12.6012
108,0.0021887,12.6008
109,0.00173226,12.6013
110,0.00192367,12.6016
111,0.0018164,12.601
112,0.00170491,12.6014
113,0.00191946,12.6012
114,0.00240325,12.6007
115,0.00144409,12.6007
116,0.00198677,12.6007
117,0.00152191,12.6014
118,0.00155346,12.6017
119,0.00196994,12.6009
120,0.00203936,12.6007
121,0.00154715,12.6009
122,0.00202674,12.6011
123,0.00175119,12.6013
124,0.00164812,12.6009
125,0.00204777,12.6007
126,0.00184584,12.6009
127,0.00213612,12.6013
128,0.00210457,12.6007
129,0.0019384,12.6008
130,0.00214243,12.6007
131,0.00161657,12.6014
132,0.00169229,12.601
133,0.00164391,12.6007
134,0.00213401,12.6012
135,0.00175329,12.6013
136,0.00162078,12.6012
137,0.00189843,12.6017
138,0.00170702,12.6012
139,0.00166074,12.6012
140,0.00211508,12.6006
141,0.00167967,12.6014
142,0.00183743,12.6013
143,0.00198046,12.6009
144,0.0017007,12.6014
145,0.00223708,12.6007
146,0.00220343,12.6006
147,0.00165653,12.6013
148,0.00221815,12.6004
149,0.0016376,12.6011
150,0.0017575,12.6005
151,0.00204567,12.6009
152,0.00203305,12.6015
153,0.00171753,12.6014
154,0.00213191,12.6011
155,0.00158502,12.6011
156,0.00179746,12.6012
157,0.00210877,12.6013
158,0.00153453,12.6011
159,0.00166915,12.6011
160,0.00220132,12.6014
161,0.00190684,12.6012
162,0.00185636,12.6008
163,0.00225601,12.6017
164,0.00177433,12.601
165,0.00177012,12.6009
166,0.00224339,12.6014
167,0.00171963,12.6008
168,0.00198257,12.6008
169,0.00208984,12.6009
170,0.00160185,12.6012
171,0.00166915,12.6015
172,0.0018795,12.6009
173,0.00172174,12.6013
174,0.00175119,12.6016
175,0.0020667,12.6007
176,0.00164602,12.6005
177,0.00183112,12.6012
178,0.00179957,12.6008
179,0.00149878,12.6007
180,0.00208143,12.6013
181,0.00157871,12.6011
182,0.00150509,12.6015
183,0.00208774,12.6009
184,0.00186477,12.6014
185,0.00140622,12.6008
186,0.00221394,12.6014
187,0.00187739,12.6012
188,0.00151981,12.6004
189,0.00180588,12.6004
190,0.00209825,12.6011
191,0.00162288,12.6005
192,0.00204567,12.6011
193,0.00183953,12.6014
194,0.00205619,12.6014
195,0.00189633,12.6015
196,0.00159974,12.6004
197,0.00185846,12.6012
198,0.00207301,12.6012
199,0.00176591,12.6013
200,0.00199098,12.6012
201,0.0019447,12.6015
202,0.0020015,12.6007
203,0.00190474,12.6012
204,0.00183322,12.6007
205,0.00174067,12.6014
206,0.00203936,12.6009
207,0.00184374,12.601
208,0.00188581,12.6007
209,0.00177222,12.6015
210,0.00195943,12.6005
211,0.00196994,12.6012
212,0.0020015,12.6013
213,0.0019384,12.6013
214,0.00180377,12.601
215,0.0020646,12.6014
216,0.00170491,12.6012
217,0.0017575,12.6009
218,0.00221604,12.6014
219,0.00166284,12.6014
220,0.00173646,12.6007
221,0.00213191,12.6012
222,0.00189633,12.6012
223,0.00179957,12.6012
224,0.00181008,12.6008
225,0.00160395,12.6013
226,0.00189843,12.6009
227,0.00196994,12.601
228,0.00146092,12.6008
229,0.0017617,12.6008
230,0.00177853,12.6013
231,0.00167546,12.601
232,0.00173857,12.6007
233,0.0021277,12.6008
234,0.00167967,12.6012
235,0.00171753,12.6007
236,0.00238011,12.6008
237,0.00154085,12.6009
238,0.00239904,12.601
239,0.00186477,12.6013
240,0.00147985,12.601
241,0.00217187,12.6015
242,0.0016376,12.6008
243,0.00177643,12.6014
244,0.00191736,12.6009
245,0.00169019,12.6009
246,0.00173226,12.6015
247,0.00236539,12.6016
248,0.00165443,12.6009
249,0.00178484,12.6006
250,0.0021235,12.6004
251,0.0015156,12.601
252,0.0020625,12.6011
253,0.00179115,12.6012
254,0.00174698,12.6014
255,0.00194681,12.6007
256,0.00179326,12.6008
257,0.00142726,12.6009
258,0.0018164,12.6009
259,0.0020036,12.6022
260,0.00190474,12.6008
261,0.00216767,12.6011
262,0.0021887,12.6008
263,0.0014546,12.6013
264,0.00220132,12.6016
265,0.00161236,12.6008
266,0.00177433,12.6005
267,0.00247687,12.6013
268,0.00127161,12.6009
269,0.00190263,12.6013
270,0.0020646,12.6017
271,0.00156609,12.6014
272,0.00205829,12.6002
273,0.00190263,12.6014
274,0.00183112,12.6007
275,0.00181219,12.6021
276,0.00198888,12.6014
277,0.00162709,12.6002
278,0.00201201,12.6001
279,0.00209615,12.6008
280,0.00169229,12.6012
281,0.00189843,12.6009
282,0.00196994,12.6011
283,0.00153243,12.6014
284,0.00192367,12.6013
285,0.00162288,12.6014
286,0.0021256,12.6009
287,0.00191736,12.6011
288,0.00218029,12.6014
289,0.00142516,12.6011
290,0.00166705,12.6013
291,0.0023086,12.6009
292,0.00180167,12.6015
293,0.00198888,12.6007
294,0.00181219,12.6006
295,0.00199098,12.6013
296,0.00185636,12.6016
297,0.00156398,12.6012
298,0.0017596,12.6008
299,0.00169019,12.6005
300,0.00192367,12.6016
301,0.00202463,12.6007
302,0.00207932,12.6012
303,0.00157871,12.6011
304,0.00169439,12.6014
305,0.00190053,12.6014
306,0.00160816,12.6013
307,0.00192788,12.6012
308,0.00189843,12.6008
309,0.00157871,12.6007
310,0.00208774,12.6012
311,0.00136836,12.6013
312,0.00193629,12.6013
313,0.00210036,12.6013
314,0.00214453,12.6007
315,0.00177222,12.6017
316,0.0022518,12.6014
317,0.00190684,12.6005
318,0.00158712,12.6012
319,0.0016334,12.6008
320,0.00165022,12.6012
321,0.00142936,12.6015
322,0.00202463,12.6008
323,0.00190474,12.6009
324,0.00186477,12.6009
325,0.00206039,12.6011
326,0.00208563,12.6015
327,0.00147774,12.6009
328,0.00218029,12.6007
329,0.00162709,12.6012
330,0.0021887,12.6007
331,0.00204567,12.6014
332,0.00155767,12.6009
333,0.00215505,12.6014
334,0.00178064,12.6015
335,0.00156188,12.6008
336,0.00196784,12.6009
337,0.00165653,12.601
338,0.00207512,12.6009
339,0.00172595,12.6012
340,0.00210246,12.601
341,0.00187529,12.6012
342,0.00205408,12.6012
343,0.00191105,12.6008
344,0.00171753,12.6007
345,0.00207722,12.6012
346,0.00185846,12.6013
347,0.00146933,12.6009
348,0.00199729,12.6012
349,0.00156398,12.601
350,0.00187739,12.6014
351,0.00229387,12.6016
352,0.00162709,12.6011
353,0.00181008,12.6015
354,0.00213612,12.6007
355,0.00163971,12.6007
356,0.00197626,12.6014
357,0.00183322,12.6011
358,0.0020015,12.6009
359,0.00178905,12.6012
360,0.00208353,12.6009
361,0.00171122,12.6009
362,0.00165022,12.6012
363,0.00198257,12.6007
364,0.0018816,12.6011
365,0.00196364,12.6001
366,0.00192788,12.6005
367,0.00191526,12.6006
368,0.00204356,12.6005
369,0.00210457,12.601
370,0.00180377,12.601
371,0.00202463,12.6012
372,0.00151981,12.6014
373,0.00203726,12.6007
374,0.00195522,12.601
375,0.00183743,12.6012
376,0.0017554,12.6009
377,0.00178274,12.6012
378,0.00184164,12.6009
379,0.00180377,12.6011
380,0.00238222,12.6013
381,0.00159553,12.6009
382,0.00197626,12.6017
383,0.00204356,12.6013
384,0.00156609,12.601
385,0.00229598,12.6013
386,0.00136416,12.6008
387,0.00184584,12.6009
388,0.00196364,12.601
389,0.00211087,12.6011
390,0.00168808,12.601
391,0.00189422,12.6006
392,0.00197836,12.6009
393,0.00167967,12.6008
394,0.00207091,12.601
395,0.00173015,12.6004
396,0.00153664,12.6019
397,0.00217187,12.6007
398,0.00171122,12.6012
399,0.00199519,12.6016
400,0.00189843,12.6013
401,0.00183953,12.6014
402,0.00171333,12.6006
403,0.00221815,12.6017
404,0.00146092,12.6007
405,0.00197626,12.6008
